taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
Borago spec,"Borago, Borago officinalis",Borago,Boraginaceae,152.0,212.0,60.0,406.0,0.0034986992015789,2.46530820917324,53.75,1.95,,4.0,30.2597411333333,2.46530820917324,0.0008962382278118302,7.0,0.9912676009008068,1
Brassica napus,Brassica napus,Brassica,Brassicaceae,108.0,217.0,109.0,1125.12,0.0074598380787714,1.72703985009962,46.9285714285714,5.2297027993,0.78174175,5.0,23.63766666,1.72703985009962,0.0015177344879934685,7.0,0.9999999884261642,1
Brassica spec,"Brassica, Brassica nigra, Brassica oleracea, Brassica rapa, Brassica sp",Brassica,Brassicaceae,114.0,250.0,136.0,124.182,0.0013080072793448,2.20748071325781,48.1287037037037,0.9885,1.15,4.0,28.1,2.20748071325781,0.0003342203211055353,3.7478969791055463,1.0,1
Calendula officinalis,Calendula officinalis,Calendula,Asteraceae,152.0,304.0,152.0,,0.0010001784105383,1.375,,0.47074647115,2.08376048088796,4.0,18.91633889375,1.375,0.0002534827152870936,2.8425174739150085,1.0,1
Calluna spec,"Calluna, Calluna vulgaris",Calluna,Ericaceae,213.0,304.0,91.0,5815.06,0.0013560715019519,1.4218521764534,31.0,0.42794,,4.0,13.9,1.4218521764534,0.0003438382076695714,3.855750528762535,1.0,1
Caltha palustris,"Caltha palustria, Caltha palustris",Caltha,Ranunculaceae,91.0,181.0,90.0,125.28,8.43466512256321e-06,1.51358457493427,33.0,0.00437,,0.0,15.03,1.51358457493427,856.2330912805687,7.0,1.0,1
Calystegia spec,"Calystegia, Calystegia sepium",Calystegia,Convolvulaceae,182.0,272.0,90.0,16.6683333335,0.009977,0.664621677,,2.03265750018465,0.91,0.0,26.4566786,0.664621677,1004330.930471429,7.0,1.0,1
Camelina sativa,Camelina sativa,Camelina,Brassicaceae,121.0,243.0,122.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.12671874968320312,7.0,1.0,0
Campanula spec,"Campanula rapunculoides, Campanula rapunculus, Campanula rotundifolia, Campanula sp",Campanula,Campanulaceae,152.0,273.0,121.0,329.14,0.0006165352030382,1.375,60.06,0.29018,,4.07,25.0179055883978,1.375,0.00015356573969147854,1.7220633681997528,1.0,1
Castanea sativa,"Castanea, Castanea sativa",Castanea,Fagaceae,152.0,196.0,44.0,9291.5,6.84713375796178e-05,1.03198948290973,22.5,0.0086,,4.0,22.035,1.03198948290973,1.7294488602325545e-05,0.19393782332991033,1.0,1
Centaurea spec,"Centaurea, Centaurea jacea, Centaurea montana, Centaurea nigra, Centaurea scabiosa, Centaurea soltitialis",Centaurea,Asteraceae,163.0,296.0,133.0,27.3990146316146,0.0324446666808209,0.6703833545,55.35,8.00119014420227,10.9115454011161,5.53333333333333,22.366147025,0.6703833545,0.0059028018554176135,7.0,1.0,1
Cerastium spec,"Cerastium arvense, Cerastium fontanum, Cerastium holosteoides",Cerastium,Caryophyllaceae,81.0,191.0,110.0,660.48,4.09194600377128e-05,1.375,,0.01925925536,0.0408618757434323,4.0,25.0179055883978,1.375,1.0370525627381524e-05,0.11629353218868696,1.0,1
Chaerophyllum spec,"Chaerophyllum aureum, Chaerophyllum bulbosum, Chaerophyllum temulum",Chaerophyllum,Apiaceae,142.0,222.0,80.0,,0.5,,69.5,,,0.0,25.0179055883978,1.375,50687499.99999999,7.0,1.0,0
Cichorium intybus,Cichorium intybus,Cichorium,Asteraceae,182.0,304.0,122.0,,0.5,,,,,4.0,15.05,1.375,0.12671874968320312,7.0,1.0,0
Circaea lutetiana,"Circaea lutetiana, Circea lutetiana",Circaea,Onagraceae,152.0,243.0,91.0,804.77,1.38528138528139e-05,1.375,73.0,0.00652,,0.0,24.14305555,1.375,1404.3290043290092,7.0,1.0,1
Cirsium spec,"Cirsium, Cirsium acaule, Cirsium arvense, Cirsium eriophorum, Cirsium palustre, Cirsium vulgare",Cirsium,Asteraceae,176.0,276.0,100.0,101.628343287615,0.001232,1.0913251715,,8.2865445673701,2.72667445349531,6.06666666666667,21.4272216666667,1.0913251715,0.00020529315231757378,2.302126881025687,1.0,1
Clematis vitalba,Clematis vitalba,Clematis,Ranunculaceae,182.0,243.0,61.0,327.21,0.0003181260457334,1.375,,0.14973,,4.0,15.03,1.375,8.062506951399589e-05,0.9041175398077113,1.0,1
Convolvulus arvensis,Convolvulus arvensis,Convolvulus,Convolvulaceae,152.0,273.0,121.0,252.86,0.0007474995352295,1.375,,0.35182,,4.0,27.4783393,1.375,0.00018944441298611537,2.1244014750224776,1.0,1
Coreopsis spec,"Coreopsis picta, Coreopsis tinctoria",Coreopsis,Asteraceae,213.0,304.0,91.0,,0.0004370147826733,1.375,,0.20568647015,0.609969458813763,4.0,18.91633889375,1.375,0.00011075593370687461,1.2420005701177415,1.0,1
Cornus spec,"Cornus, Cornus mas, Cornus sanguinea",Cornus,Cornaceae,121.0,151.0,30.0,218.83,9.95801968731905e-05,2.01811276657902,44.0,0.06879,,0.0,19.1766666666667,2.01811276657902,10158.983753927287,7.0,0.999999997604839,1
Cosmos spec,"Cosmos bipinnatus, Cosmos sulphureus",Cosmos,Asteraceae,213.0,304.0,91.0,,0.001489555662497,1.375,,0.701077992,4.21258677866803,5.0,18.91633889375,1.375,0.0003020074099672519,3.3866661839701266,1.0,1
Crataegus spec,"Crataegus, Crataegus laevigata, Crataegus monogy, Crataegus monogyna, Crataegus oxyacantha, Crataegus sp, Crataegus spp, Crataegus subsphaerica",Crataegus,Rosaceae,121.0,181.0,60.0,5195.2116666665,0.001875346,1.023306391,15.8,0.379681014592375,0.3315,0.25,15.3978889,1.023306391,0.007578145838759617,7.0,1.0,1
Crepis spec,"Crepis biennis, Crepis capillaris",Crepis,Asteraceae,136.0,258.0,122.0,440.342857142857,0.0002146421267893,1.375,,0.101024,0.627631556871401,4.0,18.91633889375,1.375,5.4398363872167304e-05,0.6100151629032813,1.0,1
Cucumus sativus,Cucumus sativus,Cucumus,Cucurbitaceae,,,,,0.0042493294027036,1.375,,2.0,,4.0,38.6,1.375,0.001076939417805345,7.0,0.9999999999999829,1
Cucurbita spec,"Cucurbita, Cucurbita maxima, Cucurbita pepo",Cucurbita,Cucurbitaceae,,,,,0.156687898089172,1.83464796961729,40.0,149.7,54.0,4.0,38.6,1.83464796961729,0.03989064225779865,7.0,1.0,0
Cultivated bean,"Cultivated bean, Phaseolus coccineus",Cultivated,Fabaceae,106.0,242.0,136.0,518.63,0.0058032554847841,2.06397896581946,45.0,2.07672,0.8,4.0,26.3727967,2.06397896581946,0.0014807583606288063,7.0,0.9999855589044794,1
Cyanus segetum,Centaurea cyanus,Centaurea,Asteraceae,152.0,304.0,152.0,,0.0013269610808769,1.97224656733859,43.0,21.4151085539,4.21759572411648,4.0,26.2,1.97224656733859,0.0003382830054653959,3.7934553173568366,1.0,1
Cynoglossum officinale,Cynoglossum officinale,Cynoglossum,Boraginaceae,121.0,212.0,91.0,,0.0016774925900233,2.31624306164183,50.5,1.33,,4.0,30.2597411333333,2.31624306164183,0.0004290868478646005,4.811716102617983,1.0,1
Cytisus scoparius,Cytisus scoparius,Cytisus,Fabaceae,121.0,181.0,60.0,3883.28,7.21536132579077e-05,1.375,,0.03396,,4.0,26.3727967,1.375,1.8286431314334902e-05,0.2050613213909744,1.0,1
Daucus carota,Daucus carota,Daucus,Apiaceae,152.0,243.0,91.0,1646.59211732356,0.0012005200945438,1.375,,0.56503978899825,0.396171490328399,4.0,25.0179055883978,1.375,0.00030425681070030223,3.4118906292830586,1.0,1
Digitalis spec,"Digitalis, Digitalis purpurea",Digitalis,Plantaginaceae,152.0,258.0,106.0,97.5128125,0.001633333,0.82432564,,0.867376064006022,21.636667,7.0,21.82583915,0.82432564,0.000235256711479002,2.638133777592896,1.0,1
Dracocephalum altaiense,Dracocephalum altaiense,Dracocephalum,Lamiaceae,182.0,243.0,61.0,,0.0007839294463498,1.78878177037686,39.0,0.48,,4.0,18.7046642833333,1.78878177037686,0.00019948805784596025,2.2370294148943186,1.0,1
Echium vulgare,"Echium, Echium vulgare",Echium,Boraginaceae,141.0,242.0,101.0,16305.25,0.0020999118546924,0.668138194,39.075,1.10851453619399,0.631346029022025,6.7,32.19194445,0.668138194,0.0003155137559222084,3.538124338985637,1.0,1
Epilobium spec,"Chamaenerion angustifolium, Chamerion angustifolium, Epilobium, Epilobium angustifolium, Epilobium ciliatum, Epilobium hirsutum, Epilobium montanum, Epilobium parviflorum, Epilobium tetragonum",Chamaenerion,Onagraceae,170.0,258.0,88.0,445.145911458375,0.0006548008810048,2.14080484954718,46.675,0.375473618103333,3.39246624199761,0.0,23.9907407333333,2.14080484954718,66881.88900202283,7.0,0.9999999483098447,1
Eranthis hyemalis,Eranthis hyemalis,Eranthis,Ranunculaceae,32.0,120.0,88.0,,0.0009381326223275,1.18334794040316,25.8,0.38,,4.0,15.03,1.18334794040316,0.0002373084982547444,2.6611422093756705,1.0,1
Erica spec,"Erica carnea, Erica cinerea, Erica spp, Erica tetralix, Erica x darleyensis",Erica,Ericaceae,102.0,263.0,161.0,14798.07,0.0001603378216875,1.375,27.6666666666667,0.075465,,4.08333333333333,28.4,1.375,3.9806318286768996e-05,0.4463821336859595,1.0,1
Eruca spec,Eruca,Eruca,Brassicaceae,,,,,0.0008307947936859,2.10984516505989,46.0,0.6,,4.0,24.4562121181818,2.10984516505989,0.00021208081883781078,2.3782427639924175,1.0,1
Eupatorium cannabinum,Eupatorium cannabinum,Eupatorium,Asteraceae,182.0,273.0,91.0,1595.62982209738,0.0025169426751592,2.0257571331191,44.1666666666667,1.817736,,4.0,18.91633889375,2.0257571331191,0.000641982453629483,7.0,0.9999946397083331,1
Euphorbia spec,"Euphorbia amygdaloides, Euphorbia exigua, Euphorbia helioscopia, Euphorbia platyphyllos",Euphorbia,Euphorbiaceae,162.0,273.0,111.0,,0.5,1.921328671,42.0,,,0.0,25.0179055883978,1.921328671,50960664.335499994,7.0,1.0,0
Fagopyrum esculentum,Fagopyrum esculentum,Fagopyrum,Polygonaceae,182.0,304.0,122.0,8529.5,0.0001248907206194,1.76584867075665,38.5,0.1,0.0947551264921216,4.0,25.0179055883978,1.76584867075665,3.177402535790396e-05,0.3563091952607755,1.0,1
Fallopia convolvulus,Fallopia convolvulus,Fallopia,Polygonaceae,182.0,304.0,122.0,2910.4,0.0001382731787639,1.375,,0.06508,,4.0,25.0179055883978,1.375,3.5043608655366874e-05,0.39297381614008403,1.0,1
Fallopia japonica,Fallopia japonica,Fallopia,Polygonaceae,213.0,273.0,60.0,5585.41,0.0001214245876822,1.375,,0.05715,,4.0,25.0179055883978,1.375,3.07735438637737e-05,0.3450899445668066,1.0,1
Ficaria verna,Ranunculus ficaria,Ranunculus,Ranunculaceae,60.0,151.0,91.0,96.57,2.8045574057844e-05,1.375,,0.0132,1.9,4.0,15.03,1.375,7.107800157515338e-06,0.07970581396822332,1.0,1
Fragaria spec,Fragaria vesca,Fragaria,Rosaceae,121.0,151.0,30.0,,0.5,,,,,4.0,21.518011945,1.375,0.12671874968320312,7.0,1.0,0
Fumaria officinalis,Fumaria officinalis,Fumaria,Papaveraceae,121.0,304.0,183.0,,4.65254334687807e-05,1.375,,0.02189777683,0.0084459641786512,4.0,31.294,1.375,1.1791289515265883e-05,0.13222576714618564,1.0,1
Galium spec,"Galium album, Galium aparine, Galium mollugo, Galium mollugo agg, Galium saxatile, Galium verum",Galium,Rubiaceae,157.0,263.0,106.0,1272.47712121212,3.58229243746846e-05,1.375,,0.0168605071435,0.0710020424181644,4.0,25.0179055883978,1.375,9.078872373511947e-06,0.10180912468103867,1.0,1
Geranium spec,"Geranium columbinum, Geranium dissectum, Geranium molle, Geranium pratense, Geranium pusillum, Geranium robertianum, Geranium rotundifolium, Geranium spp, Geranium sylvaticum",Geranium,Geraniaceae,133.0,266.0,133.0,610.914,0.0004632645839652,2.33407991695297,50.88888889,0.144651618015,0.0436689988643979,3.17,25.0179055883978,2.33407991695297,0.00014955127699885638,1.6770457805538492,1.0,1
Geum spec,"Geum rivale, Geum urbanum",Geum,Rosaceae,122.0,228.0,106.0,284.185,6.33150081002842e-05,1.375,53.0,0.0298,,4.0,21.518011945,1.375,1.6046397325299782e-05,0.1799419133525042,1.0,1
Gladiolus spec,Gladiolus sp,Gladiolus,Iridaceae,152.0,243.0,91.0,42.17,0.006676716330704,1.375,,3.14248,,4.0,25.0179055883978,1.375,0.001692130290832469,7.0,0.9999999999999787,1
Glebionis segetum,Glebionis segetum,Glebionis,Asteraceae,182.0,304.0,122.0,,0.0019717204590338,1.375,,0.92801488055,1.43285907985965,4.0,18.91633889375,1.375,0.0004997079025871088,5.603650108247041,1.0,1
Glechoma hederacea,Glechoma hederacea,Glechoma,Lamiaceae,91.0,181.0,90.0,367.1811574075,0.0014044099686583,0.87236667,37.45,0.438066944483569,0.896667,11.75,19.06965,0.87236667,0.00012056694229186067,1.352019761398564,1.0,1
Glycine max,Glycine max,Glycine,Fabaceae,,,,,5.43731551965201e-05,1.88051416885773,41.0,0.035,,4.0,26.3727967,1.88051416885773,1.3848912486389136e-05,0.15529964515606257,1.0,1
Gypsophila elegans,Gypsophila elegans,Gypsophila,Caryophyllaceae,121.0,243.0,122.0,,0.0007844975707646,1.375,,0.3692335879,0.0835474377122987,4.0,25.0179055883978,1.375,0.00019882110259360054,2.2295502778770087,1.0,1
Hedera helix,Hedera helix,Hedera,Araliaceae,213.0,334.0,121.0,87.8172185430464,0.0404492949703492,0.665059888986269,14.5,9.208282,,4.0,25.5,0.665059888986269,0.01017957672619474,7.0,1.0,1
Helianthus spec,"Helianthus, Helianthus annuus, Helianthus spp",Helianthus,Asteraceae,121.0,304.0,183.0,7.0,0.0246837099729517,0.7,26.1415322580645,14.145,20.885,4.5,23.7,0.7,0.00552366575278349,7.0,1.0,1
Heracleum spec,"Heracleum sphondylium, Heraculum spp",Heracleum,Apiaceae,152.0,273.0,121.0,703.71915473756,0.0030598441558441,1.375,38.525,1.4401539,,0.0,25.0179055883978,1.375,310191.7012986956,7.0,1.0,1
Hyacinthoides spec,"Hyacinthoides, Hyacinthoides non-scripta",Hyacinthoides,Asparagaceae,91.0,166.0,75.0,141.21432971,0.0002410219637213,1.375,45.5,0.11344,0.938333825,13.2,36.3,1.375,1.8510304207376124e-05,0.20757179872148918,1.0,1
Hypericum spec,"Hypericum maculatum, Hypericum perforatum, Hypericum pulchrum, Hypericum spp, Hypericum tetrapterum",Hypericum,Hypericaceae,167.0,250.0,83.0,2678.405625,0.0,0.0,22.5,0.0,0.5,1.0,13.9074028,0.0,0.0,0.05,1.0,1
Hypochaeris spec,"Hypochaeris radicata, Hypochoeris",Hypochaeris,Asteraceae,152.0,243.0,91.0,169.039446366782,0.0031840688079745,1.375,,1.49862178533333,0.485958947248406,4.0,16.775,1.375,0.0008069624365036312,7.0,0.9999999999999836,1
Impatiens glandulifera,Impatiens glandulifera,Impatiens,Balsaminaceae,182.0,212.0,30.0,58.21,0.0101749469214437,2.20157756354075,48.0,7.66784,,6.0,25.0179055883978,2.20157756354075,0.0017331593754394653,7.0,0.9988717281628339,1
Iris pseudacorus,Iris pseudacorus,Iris,Iridaceae,121.0,334.0,213.0,12.1,0.0072504820333041,1.375,,3.41253,,4.0,25.0179055883978,1.375,0.0018375440357216476,7.0,0.9999999999999771,1
Jacobaea spec,"Senecio erucifolius, Senecio jacobaea, Senecio paludosus",Senecio,Asteraceae,174.0,266.0,92.0,955.336307909119,0.0031963195308032,1.375,10.9125,1.50438774116666,0.266534648739029,6.665,16.35,1.375,0.000486161878393117,5.451747007359524,1.0,1
Knautia arvensis,Knautia arvensis,Knautia,Dipsacaceae,182.0,253.0,71.0,58.6473633780105,0.0209519432714525,1.375,,9.861294,8.88,0.0,11.95,1.375,2124003.249143497,7.0,1.0,1
Lamium album,Lamium album,Lamium,Lamiaceae,106.0,334.0,228.0,299.7904761905,0.0019869611737332,0.756159314,33.5,0.851684824946353,0.725,10.6,22.8,0.756159314,0.00018886658149295106,2.117921758587226,1.0,1
Lamium galeobdolon,Lamium galeobdolon,Lamium,Lamiaceae,121.0,212.0,91.0,183.19,0.0151203008939878,1.54569091440257,33.7,4.22008,,4.0,18.7046642833333,1.54569091440257,0.0038385034931878665,7.0,0.9999999999332734,1
Lamium spec gens rubra,"Lamium maculatum, Lamium purpureum",Lamium,Lamiaceae,75.0,288.0,213.0,463.9348809525,0.0032382994353958,1.012756841,56.0,0.788124188956937,0.347361984866693,7.0,22.8,1.012756841,0.0004672993613981202,5.240225546815081,1.0,1
Lapsana communis,Lapsana communis,Lapsana,Asteraceae,152.0,273.0,121.0,418.754761904762,0.0001429409889464,1.375,,0.06727696321,0.123334232477416,4.0,18.91633889375,1.375,3.6226606795536725e-05,0.4062397813607626,1.0,1
Lathyrus spec,"Lathyrus latifolius, Lathyrus pratensis, Lathyrus sp, Lathyrus tuberosus",Lathyrus,Fabaceae,142.0,253.0,111.0,409.835,0.0024863994900804,1.375,67.0,1.170255,0.07,4.0,26.3727967,1.375,0.0006301468691918842,7.0,0.9999999999999838,1
Leontodon spec,"Leodonton sp, Leontodon hispidus",Leodonton,Asteraceae,152.0,273.0,121.0,48.6509459459459,0.0029465373206207,1.375,,1.38682462166667,0.0960779130755906,2.25,18.91633889375,1.375,0.0013275787535570874,7.0,0.9999999999999996,1
Leucanthemum spec,"Leucanthemum ircutianum, Leucanthemum vulgare",Leucanthemum,Asteraceae,152.0,304.0,152.0,492.298224852071,0.0020859746829203,1.375,,0.9817900592,3.91736638056449,4.0,28.0,1.375,0.000528664207380953,5.928361804124562,1.0,1
Limum spec,"Linum grandiflorum, Linum usitatissimum",Linum,Linaceae,152.0,212.0,60.0,,0.0014333140320401,1.61678352322524,35.25,0.42010686258,1.17473351927534,4.0,25.0179055883978,1.61678352322524,0.0003641219033762451,4.083208876036798,1.0,1
Lobularia maritima,Lobularia maritima,Lobularia,Brassicaceae,152.0,334.0,182.0,,8.95066817305394e-06,1.375,,0.004212743859,0.012493371343539,2.0,24.4562121181818,1.375,4.536869907532366e-06,0.05087578446693617,1.0,1
Lonicera spec,"Lonicera, Lonicera maackii, Lonicera periclymenum",Lonicera,Caprifoliaceae,152.0,212.0,60.0,57.91,0.0036689559928823,1.375,31.0,1.72684,,7.0,24.8,1.375,0.0005313434474958567,5.958406404344353,1.0,1
Lupinus spec,"Lupinus angustifolius, Lupinus luteus, Lupinus sp",Lupinus,Fabaceae,152.0,273.0,121.0,,0.5,,,,,4.0,31.6,1.375,0.12671874968320312,7.0,1.0,0
Lysimachia spec,"Lysimachia nemorum, Lysimachia vulgaris, Lysimachia vvulgaris",Lysimachia,Primulaceae,142.0,253.0,111.0,61.56,1.52550925557061e-05,1.375,,0.00718,,4.0,25.0179055883978,1.375,3.866212509921233e-06,0.05,1.0,1
Lythrum spec,"Lythrum, Lythrum salicaria",Lythrum,Lythraceae,182.0,274.0,92.0,1678.19,0.0004248601799845,2.61437335670464,57.0,0.28543,,4.0,25.0179055883978,2.61437335670464,0.00010899190256083579,1.222218987174437,1.0,1
Malcolmia maritima,Malcolmia maritima,Malcolmia,Brassicaceae,,,,,9.84752884072982e-05,1.375,,0.04634862543,0.175121638257609,4.0,24.4562121181818,1.375,2.495733084333131e-05,0.2798677966823063,1.0,1
Malus domestica,"Malus domestica, Malus sp",Malus,Rosaceae,91.0,151.0,60.0,185.26,0.0028741814727902,2.05578857309795,44.8214285714286,2.10173666666667,1.7,4.0,23.0,2.05578857309795,0.0007333171399361871,7.0,0.9999896346795213,1
Malva spec,"Malva alcea, Malva mauritiana, Malva moschata, Malva sp, Malva sylvestris, Malva verticillata",Malva,Malvaceae,160.0,296.0,136.0,8282.0,0.0021372965322009,2.06397896581946,45.0,1.08288022793333,4.34644419388959,4.0,37.1,2.06397896581946,0.0005453524694022977,6.115501492727068,1.0,1
Matricaria spec,"Matricaria chamomilla, Matricaria discoidea, Matricaria recutita",Matricaria,Asteraceae,152.0,233.0,81.0,1257.15193523546,0.0001331442381749,1.375,,0.062666,0.153582850042559,4.0,18.91633889375,1.375,3.374374277809185e-05,0.37839731349486305,1.0,1
Medicago sativa,Medicago sativa,Medicago,Fabaceae,152.0,273.0,121.0,26249.34,0.0002755560363203,1.62825007303535,35.5,0.115473666676667,2.68376655090331,4.0,26.3727967,1.62825007303535,7.001069424570791e-05,0.785089514008683,1.0,1
Medicago spec,"Medicago falcata, Medicago lupuli, Medicago lupulina, Medicago minima, Medicago varia",Medicago,Fabaceae,131.0,253.0,122.0,889.563736263736,6.3030303030303e-05,1.375,32.5,0.029666,,4.0,26.3727967,1.375,1.597424238430681e-05,0.1791327785743418,1.0,1
Melitlotus spec,"Melilotus albus, Melilotus officinalis",Melilotus,Fabaceae,152.0,273.0,121.0,8575.52,7.27934485896269e-05,1.60531697341513,35.0,0.0525425,,4.0,21.13,1.60531697341513,1.8490503497616342e-05,0.2073497565067987,1.0,1
Myosotis spec,"Myosotis, Myosotis arvensis, Myosotis sylvatica",Myosotis,Boraginaceae,106.0,242.0,136.0,3166.87,4.80113960003187e-05,1.375,23.5,0.02259716367,0.0001209861059868,2.8,30.2597411333333,1.375,1.7382697329105755e-05,0.1949269828745387,1.0,1
Nigella spec,Nigella damascena,Nigella,Ranunculaceae,,,,,0.000278475188633,1.375,,0.13106782847,2.12801927577395,4.0,15.03,1.375,7.05760554427358e-05,0.7914293903975135,1.0,1
Onobrychis viciifolia,Onobrychis viciifolia,Onobrychis,Fabaceae,121.0,212.0,91.0,,0.0002368120202515,1.65882753919564,36.1666666666667,0.145,,4.0,27.5,1.65882753919564,6.018508066442666e-05,0.6749065444713095,1.0,1
Origanum vulgare,Origanum vulgare,Origanum,Lamiaceae,182.0,273.0,91.0,16183.86,4.17700301709688e-05,3.48583114227286,76.0,0.431302748733333,0.0070294649055641,4.0,18.7046642833333,3.48583114227286,1.080651569568501e-05,0.12118265997873143,1.0,1
Papaver spec,"Papaver dubium, Papaver rhoeas, Papaver sp",Papaver,Papaveraceae,121.0,212.0,91.0,53.87,6.28892385732876e-06,1.375,,0.002959960625,8.93335009715145,4.0,23.285,1.375,1.5938491361071349e-06,0.05,1.0,1
Phacelia tanacetifolia,"Phacelia tacetifolia, Phacelia tanacetifolia",Phacelia,Boraginaceae,152.0,304.0,152.0,4000.0,0.0012489185813613,1.375,32.5,0.5878191418,0.53000869150504,4.0,58.9,1.375,0.0003165228021724474,3.549439633580948,1.0,1
Plantago spec,"Plantago coronopus, Plantago lanceolata, Plantago major, Plantago media",Plantago,Plantaginaceae,114.0,281.0,167.0,269.758590481172,0.0,0.0,,0.0,0.496323030503319,4.0,23.9,0.0,0.0,0.05,1.0,1
